top - 22:26:16 up 49 min,  1 user,  load average: 4.32, 5.36, 5.51
Tasks: 187 total,   5 running, 182 sleeping,   0 stopped,   0 zombie
%Cpu(s): 17.6 us, 29.4 sy,  0.0 ni, 29.4 id,  5.9 wa,  0.0 hi, 17.6 si,  0.0 st 
MiB Mem :   3916.6 total,   3306.0 free,    616.2 used,    265.4 buff/cache     
MiB Swap:   2048.0 total,   1713.8 free,    334.2 used.   3300.4 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  13373 root      20   0 1701428  28648  20584 S   0.0   0.7   0:00.04 docker
  13392 root      20   0    9336   3412   2772 S   0.0   0.1   0:00.02 psql

top - 22:26:31 up 49 min,  1 user,  load average: 3.73, 5.18, 5.45
Tasks: 187 total,   3 running, 184 sleeping,   0 stopped,   0 zombie
%Cpu(s): 14.2 us, 23.1 sy,  0.0 ni,  0.6 id, 22.5 wa,  0.0 hi, 39.6 si,  0.0 st 
MiB Mem :   3916.6 total,    254.2 free,   1781.1 used,   3127.6 buff/cache     
MiB Swap:   2048.0 total,   1713.9 free,    334.1 used.   2135.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  13397 70        20   0 1113604 692856 670268 R  99.0  17.3   0:03.27 postgres
  13333 monitor   20   0   15796   6116   4068 R  78.0   0.2   0:01.77 top
  13322 70        20   0 1079520  12824  11100 S  20.0   0.3   0:00.60 postgres
      1 root      20   0   22532   9192   6504 S   0.0   0.2   0:13.99 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.13 kthreadd
      3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 pool_wo+
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     13 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     14 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     15 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     16 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     17 root      20   0       0      0      0 S   0.0   0.0   0:06.73 ksoftir+
     18 root      20   0       0      0      0 I   0.0   0.0   0:08.66 rcu_pre+
     19 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_exp+
     20 root      20   0       0      0      0 S   0.0   0.0   0:00.17 rcu_exp+
     21 root      rt   0       0      0      0 S   0.0   0.0   0:01.35 migrati+
     22 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     23 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     24 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     25 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     26 root      rt   0       0      0      0 S   0.0   0.0   0:00.56 migrati+
     27 root      20   0       0      0      0 S   0.0   0.0   0:12.66 ksoftir+
     30 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmp+
     31 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     32 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
     33 root      20   0       0      0      0 S   0.0   0.0   0:00.00 khungta+
     35 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
     36 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     37 root      20   0       0      0      0 S   0.0   0.0   0:14.79 kcompac+
     38 root      20   0       0      0      0 I   0.0   0.0   0:03.50 kworker+
     39 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     40 root      39  19       0      0      0 S   0.0   0.0   0:00.00 khugepa+
     41 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     42 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     43 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     44 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/9-a+
     46 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     47 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     48 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     49 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     50 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     51 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     52 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
     54 root      20   0       0      0      0 S   0.0   0.0   5:45.62 kswapd0
     55 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptf+
     56 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     57 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     58 root      20   0       0      0      0 S   0.0   0.0   0:00.02 scsi_eh+
     59 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     60 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
     61 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     64 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     65 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     74 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     76 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     89 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    138 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    139 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    188 root      20   0       0      0      0 S   0.0   0.0   0:01.10 jbd2/sd+
    189 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    234 root      19  -1   58836  11936  11424 S   0.0   0.3   0:03.73 systemd+
    283 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/18-+
    284 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    306 root      20   0   30264   4524   3756 S   0.0   0.1   0:00.72 systemd+
    359 systemd+  20   0   22640   5676   5164 S   0.0   0.1   0:01.73 systemd+
    368 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
    369 systemd+  20   0   91048   5016   4888 S   0.0   0.1   0:00.45 systemd+
    503 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    648 root      20   0  313288   4576   4448 S   0.0   0.1   0:06.27 account+
    651 avahi     20   0    8612   3260   3132 S   0.0   0.1   0:03.68 avahi-d+
    652 root      20   0    9424   2632   2504 S   0.0   0.1   0:00.08 cron
    653 message+  20   0   10976   4868   3460 S   0.0   0.1   0:00.91 dbus-da+
    659 polkitd   20   0  384340   4808   4276 S   0.0   0.1   0:02.90 polkitd
    663 root      20   0 1849364  14556   7100 S   0.0   0.4   0:15.19 snapd
    665 root      20   0   18224   5404   5148 S   0.0   0.1   0:00.33 systemd+
    673 root      20   0  469248   6032   5392 S   0.0   0.2   0:01.69 udisksd
    681 avahi     20   0    8424   1048    912 S   0.0   0.0   0:00.00 avahi-d+
    700 root      20   0  336384   9676   8268 S   0.0   0.2   0:03.41 Network+
    702 root      20   0   17380   3516   3516 S   0.0   0.1   0:02.39 wpa_sup+
    721 root      20   0  392092   5512   4872 S   0.0   0.1   0:00.21 ModemMa+
    730 syslog    20   0  222508   3820   3308 S   0.0   0.1   0:01.25 rsyslogd
    822 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
    828 root      20   0   38232   4260   4260 S   0.0   0.1   0:00.03 cupsd
    830 root      20   0  112256   4076   3948 S   0.0   0.1   0:00.05 unatten+
    835 root      20   0 1876016  24744  13388 S   0.0   0.6   0:50.72 contain+
    844 root      20   0  380084   4020   3892 S   0.0   0.1   0:00.13 lightdm
    848 lp        20   0   16832   2852   2852 S   0.0   0.1   0:00.00 dbus
    851 lp        20   0   16832   2956   2828 S   0.0   0.1   0:00.00 dbus
    852 lp        20   0   16832   2972   2844 S   0.0   0.1   0:00.00 dbus
    853 lp        20   0   16832   3036   2908 S   0.0   0.1   0:00.00 dbus
    859 root      20   0  335308  17796   6096 S   0.0   0.4   1:22.86 Xorg
    868 root      20   0    8704   1764   1764 S   0.0   0.0   0:00.00 agetty
    993 rtkit     21   1   22940   2652   2524 S   0.0   0.1   0:02.29 rtkit-d+
   1069 root      20   0  234276   4056   3928 S   0.0   0.1   0:00.12 lightdm
   1108 monitor   20   0   20560   6648   5752 S   0.0   0.2   0:00.47 systemd
   1109 monitor   20   0   21184   1784   1584 S   0.0   0.0   0:00.00 (sd-pam)
   1118 monitor    9 -11  118584   3940   3812 S   0.0   0.1   0:00.04 pipewire
   1120 monitor   20   0   97736   3536   3408 S   0.0   0.1   0:00.00 pipewire
   1121 monitor    9 -11  402848   4632   4504 S   0.0   0.1   0:00.10 wireplu+
   1122 monitor    9 -11  109660   4268   4140 S   0.0   0.1   0:00.01 pipewir+
   1123 monitor   20   0  316508   4224   4096 S   0.0   0.1   0:00.09 gnome-k+
   1130 monitor   20   0    9996   3704   3192 S   0.0   0.1   0:02.95 dbus-da+
   1152 monitor   20   0  340572   4728   4668 S   0.0   0.1   0:01.10 xfce4-s+
   1227 monitor   20   0  382832   3988   3860 S   0.0   0.1   0:00.02 at-spi-+
   1234 monitor   20   0    9556   3408   3152 S   0.0   0.1   0:01.40 dbus-da+
   1239 monitor   20   0  309792   4420   3908 S   0.0   0.1   0:01.33 xfconfd
   1245 monitor   20   0  236148   4100   3972 S   0.0   0.1   0:01.20 at-spi2+
   1254 monitor   20   0  955904   6220   5348 S   0.0   0.2   0:14.67 xfwm4
   1258 monitor   20   0  314160   4024   4024 S   0.0   0.1   0:00.02 gvfsd
   1271 monitor   20   0  305128   5488   4756 S   0.0   0.1   0:02.36 xfsetti+
   1275 root      20   0  316660   4896   4768 S   0.0   0.1   0:00.08 upowerd
   1281 monitor   20   0 1025248  12872  10620 S   0.0   0.3   0:03.72 xfce4-p+
   1286 monitor   20   0 1080512   5296   5256 S   0.0   0.1   0:18.77 Thunar
   1292 monitor   20   0  498104   5600   5168 S   0.0   0.1   0:03.46 xfdeskt+
   1295 monitor   20   0  536024   5188   5032 S   0.0   0.1   0:07.36 panel-1+
   1297 monitor   20   0  460784  10372   8200 S   0.0   0.3   0:05.43 panel-5+
   1300 monitor   20   0  459684   4592   4476 S   0.0   0.1   0:00.81 panel-6+
   1302 monitor   20   0  339844   4624   4440 S   0.0   0.1   0:00.58 panel-7+
   1303 monitor   20   0  386848   4528   4464 S   0.0   0.1   0:00.72 panel-8+
   1304 monitor   20   0  457036   4592   4512 S   0.0   0.1   0:01.15 panel-9+
   1326 monitor   20   0  418452   4504   4428 S   0.0   0.1   0:01.76 xfce4-n+
   1340 monitor   20   0   12764   1704   1564 S   0.0   0.0   0:00.65 xcape
   1347 monitor   20   0  303464   4968   4664 S   0.0   0.1   0:03.39 xfce4-s+
   1349 monitor   20   0  260092   4452   4324 S   0.0   0.1   0:00.86 polkit-+
   1355 monitor   20   0  922032   3604   3476 S   0.0   0.1   0:00.04 xiccd
   1376 monitor   20   0  260988   5308   4924 S   0.0   0.1   0:01.07 xfce4-p+
   1377 monitor   20   0  646696  11080   8856 S   0.0   0.3   0:04.54 nm-appl+
   1380 monitor   20   0  328368   3928   3928 S   0.0   0.1   0:00.09 ayatana+
   1382 colord    20   0  320064   4500   4372 S   0.0   0.1   0:00.10 colord
   1391 monitor   20   0  389080   5804   4908 S   0.0   0.1   0:00.35 gvfs-ud+
   1468 monitor   20   0  683488   4820   4308 S   0.0   0.1   0:00.81 gvfsd-t+
   1492 monitor   20   0  236304   3676   3676 S   0.0   0.1   0:00.06 gvfsd-m+
   1545 monitor   20   0  230108   3384   3256 S   0.0   0.1   0:00.09 dconf-s+
   1550 cups-br+  20   0  268464   5764   5508 S   0.0   0.1   0:00.09 cups-br+
   1551 root      20   0 2441640  59260  27088 S   0.0   1.5   5:46.89 dockerd
   1553 kernoops  20   0   12744   1696   1432 S   0.0   0.0   0:00.34 kernelo+
   1556 kernoops  20   0   12744   1532   1392 S   0.0   0.0   0:00.00 kernelo+
   1853 monitor   20   0  472272  11648   9164 S   0.0   0.3   0:11.95 xfce4-t+
   1859 monitor   20   0   11260   2848   2720 S   0.0   0.1   0:00.40 bash
   2633 monitor   20   0  462216   4224   4096 S   0.0   0.1   0:00.02 gvfsd-c+
   2814 monitor   20   0  536560   4428   4300 S   0.0   0.1   0:00.14 xdg-doc+
   2818 monitor   20   0  309308   3836   3708 S   0.0   0.1   0:00.00 xdg-per+
   2825 root      20   0    2704   1868   1868 S   0.0   0.0   0:00.00 fusermo+
   2914 monitor   20   0  489772   6596   6028 S   0.0   0.2   0:00.63 xdg-des+
   2923 monitor   20   0  410092   4652   4524 S   0.0   0.1   0:01.88 xdg-des+
   3027 monitor   20   0 1765940   7164   2444 S   0.0   0.2   0:03.28 snap
   4609 root      20   0       0      0      0 I   0.0   0.0   0:02.67 kworker+
   7061 root       0 -20       0      0      0 I   0.0   0.0   0:00.04 kworker+
   7089 root      20   0       0      0      0 I   0.0   0.0   0:02.84 kworker+
   7108 root      20   0       0      0      0 I   0.0   0.0   0:02.16 kworker+
   7450 root       0 -20       0      0      0 I   0.0   0.0   0:06.66 kworker+
   9437 root      20   0       0      0      0 I   0.0   0.0   0:00.65 kworker+
   9640 root      20   0       0      0      0 I   0.0   0.0   0:02.48 kworker+
  10932 root      20   0       0      0      0 I   0.0   0.0   0:00.06 kworker+
  11142 root      20   0       0      0      0 I   0.0   0.0   0:00.78 kworker+
  11309 root      20   0       0      0      0 I   0.0   0.0   0:02.08 kworker+
  11642 root       0 -20       0      0      0 I   0.0   0.0   0:02.43 kworker+
  11644 root       0 -20       0      0      0 I   0.0   0.0   0:00.36 kworker+
  12393 root      20   0  479948  13576   8584 S   0.0   0.3   0:00.41 fwupd
  12426 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  12445 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  12811 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  13147 root       0 -20       0      0      0 I   0.0   0.0   0:00.17 kworker+
  13149 root       0 -20       0      0      0 I   0.0   0.0   0:00.84 kworker+
  13168 monitor   20   0    9940   3484   3228 S   0.0   0.1   0:00.04 run_tim+
  13239 root      20   0 1238360  14304   9952 S   0.0   0.4   0:00.56 contain+
  13263 70        20   0 1079388  54612  52948 S   0.0   1.4   0:00.20 postgres
  13282 root      20   0 1671452   4508   3484 S   0.0   0.1   0:00.00 docker-+
  13287 root      20   0 1597720   4428   3532 S   0.0   0.1   0:00.00 docker-+
  13321 70        20   0 1079496   4412   2816 S   0.0   0.1   0:00.00 postgres
  13324 70        20   0 1079496  20872  19276 S   0.0   0.5   0:00.46 postgres
  13325 70        20   0 1081048   6860   4880 S   0.0   0.2   0:00.00 postgres
  13326 70        20   0 1080984   6852   4872 S   0.0   0.2   0:00.00 postgres
  13327 70        20   0 1080984   6268   4288 S   0.0   0.2   0:00.00 postgres
  13328 70        20   0 1083608  17700  14824 S   0.0   0.4   0:00.04 postgres
  13329 70        20   0 1083604  17412  14536 S   0.0   0.4   0:00.04 postgres
  13334 monitor   20   0    8332   2132   2004 S   0.0   0.1   0:00.01 iostat
  13370 monitor   20   0    9940   1844   1680 S   0.0   0.0   0:00.00 run_tim+
  13371 root      20   0   19368   7020   5868 S   0.0   0.2   0:00.00 sudo
  13372 root      20   0   19368   2532   1324 S   0.0   0.1   0:00.00 sudo
  13373 root      20   0 1701428  28648  20584 S   0.0   0.7   0:00.04 docker
  13392 root      20   0    9336   3412   2772 S   0.0   0.1   0:00.02 psql
  13398 70        20   0 1102096 917312 901636 R   0.0  22.9   0:02.07 postgres

top - 22:26:32 up 49 min,  1 user,  load average: 3.73, 5.18, 5.45
Tasks: 187 total,   3 running, 184 sleeping,   0 stopped,   0 zombie
%Cpu(s): 15.1 us, 25.0 sy,  0.0 ni,  1.2 id, 18.6 wa,  0.0 hi, 40.1 si,  0.0 st 
MiB Mem :   3916.6 total,    254.2 free,   1781.1 used,   3127.6 buff/cache     
MiB Swap:   2048.0 total,   1713.9 free,    334.1 used.   2135.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  13397 70        20   0 1114308 739320 716348 R  84.2  18.4   0:04.12 postgres
     54 root      20   0       0      0      0 S  35.6   0.0   5:45.98 kswapd0
    835 root      20   0 1876016  24744  13388 S  35.6   0.6   0:51.08 contain+
  13333 monitor   20   0   15796   6116   4068 R  28.7   0.2   0:02.06 top
  13398 70        20   0 1102608 976448 960644 R  13.9  24.3   0:02.21 postgres
     18 root      20   0       0      0      0 I   1.0   0.0   0:08.67 rcu_pre+
     27 root      20   0       0      0      0 S   1.0   0.0   0:12.67 ksoftir+
   3027 monitor   20   0 1765940   7164   2444 S   1.0   0.2   0:03.29 snap
      1 root      20   0   22532   9192   6504 S   0.0   0.2   0:13.99 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.13 kthreadd
      3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 pool_wo+
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     13 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     14 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     15 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     16 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     17 root      20   0       0      0      0 S   0.0   0.0   0:06.73 ksoftir+
     19 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_exp+
     20 root      20   0       0      0      0 S   0.0   0.0   0:00.17 rcu_exp+
     21 root      rt   0       0      0      0 S   0.0   0.0   0:01.35 migrati+
     22 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     23 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
