top - 16:33:32 up 48 min,  1 user,  load average: 6.33, 3.74, 2.67
Tasks: 184 total,   2 running, 182 sleeping,   0 stopped,   0 zombie
%Cpu(s): 20.0 us, 40.0 sy,  0.0 ni, 20.0 id, 13.3 wa,  0.0 hi,  6.7 si,  0.0 st 
MiB Mem :   3916.6 total,   3159.1 free,    708.4 used,    313.3 buff/cache     
MiB Swap:   2048.0 total,   1867.6 free,    180.4 used.   3208.1 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    679 root      20   0  313288   7316   6804 S   0.0   0.2   0:04.34 account+
    682 avahi     20   0    8612   4372   3988 S   0.0   0.1   0:00.85 avahi-d+
    683 root      20   0    9424   2776   2648 S   0.0   0.1   0:00.08 cron
    684 message+  20   0   10960   6256   4464 S   0.0   0.2   0:01.88 dbus-da+
    689 polkitd   20   0  384344   8256   7760 S   0.0   0.2   0:01.19 polkitd
    693 root      20   0 1849380  19532  11072 S   0.0   0.5   0:05.66 snapd
    696 root      20   0   18128   7996   7612 S   0.0   0.2   0:00.72 systemd+
    697 root      20   0  469244  11692   9388 S   0.0   0.3   0:00.84 udisksd
    714 avahi     20   0    8424   1264   1008 S   0.0   0.0   0:00.00 avahi-d+
    736 syslog    20   0  222508   4792   4152 S   0.0   0.1   0:01.07 rsyslogd
    738 root      20   0  336464  15308  14284 S   0.0   0.4   0:03.01 Network+
    739 root      20   0   17380   4368   4112 S   0.0   0.1   0:00.05 wpa_sup+
    766 root      20   0  318360   8696   8184 S   0.0   0.2   0:00.24 ModemMa+
    855 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
    858 root      20   0   38232  10700   9164 S   0.0   0.3   0:00.03 cupsd
    865 root      20   0  112256   6548   5524 S   0.0   0.2   0:00.10 unatten+
    867 root      20   0 1876272  27612  12336 S   0.0   0.7   0:55.04 contain+
    876 root      20   0  380096   6816   6688 S   0.0   0.2   0:00.03 lightdm
    900 cups-br+  20   0  268468  13824  13184 S   0.0   0.3   0:00.47 cups-br+
    911 kernoops  20   0   12744   2004   1728 S   0.0   0.0   0:00.00 kernelo+
    917 kernoops  20   0   12744   2104   1944 S   0.0   0.1   0:00.05 kernelo+
    924 root      20   0  341820 103056  45848 S   0.0   2.6   2:28.58 Xorg
    930 root      20   0    8704   1892   1764 S   0.0   0.0   0:00.00 agetty
   1232 rtkit     21   1   22940   3392   3136 S   0.0   0.1   0:00.97 rtkit-d+
   1373 root      20   0  234532   8360   7336 S   0.0   0.2   0:00.01 lightdm
   1390 monitor   20   0   20544  10584   9176 S   0.0   0.3   0:00.44 systemd
   1391 monitor   20   0   21184   2436   1852 S   0.0   0.1   0:00.00 (sd-pam)
   1402 monitor    9 -11  118528   5928   5544 S   0.0   0.1   0:00.02 pipewire
   1403 monitor   20   0   97736   3924   3924 S   0.0   0.1   0:00.00 pipewire
   1405 monitor    9 -11  402812   8228   7972 S   0.0   0.2   0:00.05 wireplu+
   1406 monitor    9 -11  109728   7440   7184 S   0.0   0.2   0:00.00 pipewir+
   1407 monitor   20   0  316508   7780   7268 S   0.0   0.2   0:00.04 gnome-k+
   1408 monitor   20   0   10004   5408   4640 S   0.0   0.1   0:01.08 dbus-da+
   1432 monitor   20   0  340572  15324  13528 S   0.0   0.4   0:01.70 xfce4-s+
   1507 monitor   20   0  382832   8088   7448 S   0.0   0.2   0:00.00 at-spi-+
   1514 monitor   20   0    9556   4976   4592 S   0.0   0.1   0:00.55 dbus-da+
   1526 monitor   20   0  236016   7452   7196 S   0.0   0.2   0:01.54 at-spi2+
   1534 monitor   20   0  955904  66920  58584 S   0.0   1.7   0:16.53 xfwm4
   1538 monitor   20   0  314160   7024   6512 S   0.0   0.2   0:00.01 gvfsd
   1551 monitor   20   0  305128  16640  14828 S   0.0   0.4   0:02.85 xfsetti+
   1555 root      20   0  316660   7760   7120 S   0.0   0.2   0:00.08 upowerd
   1561 monitor   20   0  417500  24312  19596 S   0.0   0.6   0:05.90 xfce4-p+
   1566 monitor   20   0  540500  33456  23916 S   0.0   0.8   0:23.67 Thunar
   1572 monitor   20   0  424372  21672  17248 S   0.0   0.5   0:01.54 xfdeskt+
   1576 monitor   20   0  536236  26612  20832 S   0.0   0.7   0:02.49 panel-1+
   1577 monitor   20   0  460404  21188  18524 S   0.0   0.5   0:01.05 panel-5+
   1578 monitor   20   0  460040  19524  17548 S   0.0   0.5   0:00.65 panel-6+
   1579 monitor   20   0  339816  15544  13668 S   0.0   0.4   0:00.58 panel-7+
   1580 monitor   20   0  386468  20316  18236 S   0.0   0.5   0:01.26 panel-8+
   1581 monitor   20   0  456688  20320  18124 S   0.0   0.5   0:00.95 panel-9+
   1602 monitor   20   0  463004  20996  19452 S   0.0   0.5   0:01.02 xfce4-n+
   1613 monitor   20   0   12764   2244   2104 S   0.0   0.1   0:02.63 xcape
   1625 monitor   20   0  303464  18592  15244 S   0.0   0.5   0:02.28 xfce4-s+
   1631 monitor   20   0  260092  11752  11368 S   0.0   0.3   0:00.67 polkit-+
   1635 monitor   20   0  922032   7252   7124 S   0.0   0.2   0:00.06 xiccd
   1653 monitor   20   0  389080   9084   8188 S   0.0   0.2   0:00.22 gvfs-ud+
   1657 monitor   20   0  260984  12852  11956 S   0.0   0.3   0:01.41 xfce4-p+
   1662 colord    20   0  320028  13136   9168 S   0.0   0.3   0:00.12 colord
   1665 monitor   20   0  646692  20288  17720 S   0.0   0.5   0:02.57 nm-appl+
   1670 monitor   20   0  328368   8748   8492 S   0.0   0.2   0:00.02 ayatana+
   1689 monitor   20   0  535576   8264   7368 S   0.0   0.2   0:00.20 gvfsd-t+
   1771 monitor   20   0  236304   6336   5952 S   0.0   0.2   0:00.33 gvfsd-m+
   1791 monitor   20   0  472804  29864  23220 S   0.0   0.7   0:21.05 xfce4-t+
   1797 monitor   20   0   11860   4920   3640 S   0.0   0.1   0:01.09 bash
   1839 monitor   20   0  230108   5692   5308 S   0.0   0.1   0:00.64 dconf-s+
   2050 monitor   20   0  611324   7084   6572 S   0.0   0.2   0:00.05 xdg-doc+
   2054 monitor   20   0  309308   5872   5616 S   0.0   0.1   0:00.00 xdg-per+
   2061 root      20   0    2704   1808   1808 S   0.0   0.0   0:00.00 fusermo+
   2155 monitor   20   0  489776  12996  12180 S   0.0   0.3   0:01.22 xdg-des+
   2164 monitor   20   0  410168  12812  11916 S   0.0   0.3   0:02.16 xdg-des+
   2266 monitor   20   0 1765816   7248   1256 S   0.0   0.2   0:04.33 snap
   4754 root      20   0       0      0      0 I   0.0   0.0   0:03.65 kworker+
   6798 root      20   0  599480  30804  25040 S   0.0   0.8   0:02.61 fwupd
   7081 root       0 -20       0      0      0 I   0.0   0.0   0:00.16 kworker+
  12293 monitor   20   0  309672   6284   5772 S   0.0   0.2   0:00.65 xfconfd
  12929 root      20   0       0      0      0 I   0.0   0.0   0:03.98 kworker+
  18418 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
  28108 root      20   0       0      0      0 I   0.0   0.0   0:03.55 kworker+
  30470 root      20   0       0      0      0 I   0.0   0.0   0:00.62 kworker+
  30758 monitor   39  19  645504  21116  15740 S   0.0   0.5   0:00.12 tumblerd
  31078 root       0 -20       0      0      0 I   0.0   0.0   0:02.58 kworker+
  31268 root       0 -20       0      0      0 I   0.0   0.0   0:01.00 kworker+
  31409 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  31410 root      20   0       0      0      0 I   0.0   0.0   0:00.22 kworker+
  31429 root      20   0       0      0      0 I   0.0   0.0   0:00.08 kworker+
  31453 root      20   0       0      0      0 I   0.0   0.0   0:00.72 kworker+
  32067 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
  32130 root      20   0       0      0      0 I   0.0   0.0   0:00.11 kworker+
  32335 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  33925 root       0 -20       0      0      0 I   0.0   0.0   0:00.14 kworker+
  33955 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  33970 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  34485 monitor   20   0    9940   3624   3368 S   0.0   0.1   0:00.01 run_tim+
  34570 70        20   0 1079388  53476  51940 S   0.0   1.3   0:00.10 postgres
  34591 root      20   0 1597720   4380   3484 S   0.0   0.1   0:00.00 docker-+
  34597 root      20   0 1597720   4372   3348 S   0.0   0.1   0:00.00 docker-+
  34629 70        20   0 1079496   4172   2576 S   0.0   0.1   0:00.00 postgres
  34630 70        20   0 1079520  12980  11256 S   0.0   0.3   0:00.00 postgres
  34632 70        20   0 1079496  20704  19108 S   0.0   0.5   0:00.33 postgres
  34633 70        20   0 1081048   6656   4676 S   0.0   0.2   0:00.00 postgres
  34634 70        20   0 1080984   6704   4724 S   0.0   0.2   0:00.00 postgres
  34635 70        20   0 1080984   5548   3568 S   0.0   0.1   0:00.00 postgres
  34636 70        20   0 1083608  16048  13172 S   0.0   0.4   0:00.04 postgres
  34637 70        20   0 1083604  16260  13384 S   0.0   0.4   0:00.02 postgres
  34640 monitor   20   0   15796   6344   4296 R   0.0   0.2   0:00.08 top
  34641 monitor   20   0    8332   2276   2148 S   0.0   0.1   0:00.01 iostat
  34707 monitor   20   0    9940   1768   1600 S   0.0   0.0   0:00.00 run_tim+
  34709 monitor   20   0    8580   1960   1960 S   0.0   0.0   0:00.00 xargs
  34710 monitor   20   0    9940   3640   3384 S   0.0   0.1   0:00.00 bash
  34711 monitor   20   0    9940   3640   3384 S   0.0   0.1   0:00.00 bash
  34712 monitor   20   0    9940   3572   3316 S   0.0   0.1   0:00.00 bash
  34713 monitor   20   0    9940   3564   3308 S   0.0   0.1   0:00.00 bash
  34714 root      20   0   19364   7144   5992 S   0.0   0.2   0:00.00 sudo
  34715 root      20   0   19368   7160   6008 S   0.0   0.2   0:00.00 sudo
  34716 root      20   0   19368   2488   1284 S   0.0   0.1   0:00.00 sudo
  34718 monitor   20   0    9940   3636   3380 S   0.0   0.1   0:00.00 bash
  34719 monitor   20   0    9940   3516   3260 S   0.0   0.1   0:00.00 bash
  34720 monitor   20   0    9940   3568   3312 S   0.0   0.1   0:00.00 bash
  34721 root      20   0   19368   7160   6008 S   0.0   0.2   0:00.00 sudo
  34722 root      20   0   19368   7160   6008 S   0.0   0.2   0:00.00 sudo
  34723 monitor   20   0    9940   3640   3384 S   0.0   0.1   0:00.00 bash
  34724 root      20   0   19368   7024   5872 S   0.0   0.2   0:00.00 sudo
  34725 root      20   0   19364   2488   1284 S   0.0   0.1   0:00.00 sudo
  34726 monitor   20   0    9940   3488   3232 S   0.0   0.1   0:00.00 bash
  34727 monitor   20   0    9940   3568   3312 S   0.0   0.1   0:00.00 bash
  34728 root      20   0   19364   7136   5984 S   0.0   0.2   0:00.00 sudo
  34729 root      20   0   19364   7160   6008 S   0.0   0.2   0:00.00 sudo
  34730 root      20   0   19364   7160   6008 S   0.0   0.2   0:00.00 sudo
  34732 root      20   0   19372   7160   6008 S   0.0   0.2   0:00.00 sudo
  34733 root      20   0   19364   2236   1140 S   0.0   0.1   0:00.00 sudo
  34739 root      20   0   19368   2348   1140 S   0.0   0.1   0:00.00 sudo
  34740 root      20   0   19364   7160   6008 S   0.0   0.2   0:00.00 sudo
  34757 root      20   0   19368   2488   1284 S   0.0   0.1   0:00.00 sudo
  34763 root      20   0   19368   2488   1284 S   0.0   0.1   0:00.00 sudo
  34772 root      20   0   19364   2332   1200 S   0.0   0.1   0:00.00 sudo
  34775 root      20   0   19364   2476   1340 S   0.0   0.1   0:00.00 sudo
  34777 root      20   0   19364   2312   1144 S   0.0   0.1   0:00.00 sudo
  34779 70        20   0 1084444 130108 126276 S   0.0   3.2   0:00.27 postgres
  34781 root      20   0 1701428  28524  20460 S   0.0   0.7   0:00.03 docker
  34782 root      20   0   19372   2364   1156 S   0.0   0.1   0:00.00 sudo
  34822 root      20   0 1627952  28652  20460 S   0.0   0.7   0:00.00 docker
  34845 70        20   0 1084444 129988 126176 S   0.0   3.2   0:00.01 postgres
  34907 70        20   0 1084444 129884 126052 S   0.0   3.2   0:00.42 postgres
  34983 70        20   0 1084444 130072 126184 S   0.0   3.2   0:00.29 postgres
  34985 70        20   0 1084444 129896 126052 S   0.0   3.2   0:00.42 postgres
  34987 70        20   0 1084444 129872 126056 S   0.0   3.2   0:00.73 postgres
  34988 70        20   0 1084444 129828 126048 S   0.0   3.2   0:00.27 postgres
  34989 70        20   0 1084444 130068 126180 S   0.0   3.2   0:00.04 postgres

top - 16:33:48 up 48 min,  1 user,  load average: 7.23, 4.05, 2.79
Tasks: 240 total,   6 running, 234 sleeping,   0 stopped,   0 zombie
%Cpu(s): 24.6 us, 73.9 sy,  0.0 ni,  0.0 id,  0.0 wa,  0.0 hi,  1.4 si,  0.0 st 
MiB Mem :   3916.6 total,    143.2 free,   3124.5 used,   1879.4 buff/cache     
MiB Swap:   2048.0 total,   1867.6 free,    180.4 used.    792.1 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  34958 root      20   0  148736 142260   2612 R  36.6   3.5   0:00.67 psql
  34863 root      20   0  148736 142208   2560 S  27.7   3.5   0:00.75 psql
  34547 root      20   0 1238360  16216  10712 S  25.7   0.4   0:01.48 contain+
    958 root      20   0 2532120  63092  23052 S  21.8   1.6   2:30.34 dockerd
  34767 root      20   0  148736 142196   2548 R  10.9   3.5   0:01.25 psql
  34969 root      20   0  148736 142260   2612 S   9.9   3.5   0:00.83 psql
  34891 root      20   0  148736 142364   2716 S   8.9   3.5   0:00.80 psql
  34944 root      20   0  148736 142204   2556 S   8.9   3.5   0:00.29 psql
  34959 root      20   0  148736 142212   2564 R   7.9   3.5   0:00.75 psql
  34734 root      20   0 1775160  28508  20444 S   6.9   0.7   0:00.92 docker
  34810 root      20   0  148736 142452   2676 R   5.9   3.6   0:01.41 psql
  34878 root      20   0  148736 142396   2748 R   5.9   3.6   0:01.20 psql
  34943 root      20   0  148736 142312   2664 S   5.9   3.5   0:01.79 psql
  34776 root      20   0 1701428  29192  21128 S   4.0   0.7   0:00.45 docker
  34764 root      20   0 1701684  29056  20992 S   3.0   0.7   0:00.11 docker
  34766 root      20   0 1701428  28464  20528 S   3.0   0.7   0:00.54 docker
  34774 root      20   0 1701428  28700  20636 S   3.0   0.7   0:00.07 docker
  34717 root      20   0 1627696  28764  20828 S   1.0   0.7   0:00.05 docker
  34731 root      20   0 1701428  28856  20664 S   1.0   0.7   0:00.14 docker
  34778 root      20   0 1701428  28952  20888 S   1.0   0.7   0:00.05 docker
  34822 root      20   0 1627952  28652  20460 S   1.0   0.7   0:00.01 docker
  34986 70        20   0 1084444 129988 126176 S   1.0   3.2   0:00.25 postgres
      1 root      20   0   22472  12332   9260 S   0.0   0.3   0:14.54 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.01 kthreadd
      3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 pool_wo+
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     13 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     14 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     15 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     16 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     17 root      20   0       0      0      0 S   0.0   0.0   0:06.92 ksoftir+
     18 root      20   0       0      0      0 I   0.0   0.0   0:06.76 rcu_pre+
     19 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_exp+
     20 root      20   0       0      0      0 S   0.0   0.0   0:00.38 rcu_exp+
     21 root      rt   0       0      0      0 S   0.0   0.0   0:00.50 migrati+
     22 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     23 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     24 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     25 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     26 root      rt   0       0      0      0 S   0.0   0.0   0:00.63 migrati+
     27 root      20   0       0      0      0 S   0.0   0.0   0:04.85 ksoftir+
     30 root      20   0       0      0      0 S   0.0   0.0   0:00.01 kdevtmp+
     31 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     32 root      20   0       0      0      0 S   0.0   0.0   0:00.04 kauditd
     33 root      20   0       0      0      0 S   0.0   0.0   0:00.00 khungta+
     35 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
     36 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     37 root      20   0       0      0      0 S   0.0   0.0   0:02.56 kcompac+
     38 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     40 root      39  19       0      0      0 S   0.0   0.0   0:00.00 khugepa+
     41 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     42 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     43 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     44 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/9-a+
     46 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     47 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     48 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     49 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     50 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     51 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     52 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
     54 root      20   0       0      0      0 S   0.0   0.0   0:16.25 kswapd0
     55 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptf+
     56 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     57 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     58 root      20   0       0      0      0 S   0.0   0.0   0:00.02 scsi_eh+
